ticker,year,actual_esg,predicted_esg,discrepancy,risk_score,risk_level
PTC,2019,22.21,22.371235,0.16123489379882727,0.5653148801325745,Normal
QCOM,2021,19.04,21.377657,2.3376569366455087,0.6379441498138094,Normal
KMX,2021,12.98,18.185593,5.205592651367187,0.7336498871902432,Normal
CME,2020,16.46,23.69336,7.233359374999999,0.8013183877484946,Normal
PGR,2021,24.27,23.07289,-1.1971106719970699,0.5199855991033023,Normal
VRTX,2018,26.16,28.202808,2.042808380126953,0.628104773578445,Normal
STT,2019,21.44,21.905506,0.46550613403320185,0.5754687002686367,Normal
NVDA,2019,13.49,15.464812,1.9748122787475584,0.6258356791256534,Normal
TXN,2021,18.14,21.048674,2.9086736297607416,0.6569995189381308,Normal
EBAY,2022,16.98,20.473425,3.493424911499023,0.6765132243232629,Normal
ORCL,2020,18.13,19.25692,1.1269198608398447,0.5975407042225566,Normal
TFX,2022,29.26,24.191936,-5.06806350708008,0.39080822824059147,Normal
PTC,2021,19.26,22.380558,3.120558013916014,0.6640703019825478,Normal
AEE,2022,29.18,28.149403,-1.0305973815917966,0.5255423056777939,Normal
OXY,2021,37.17,33.856842,-3.3131579589843767,0.4493710923397936,Normal
CNP,2018,35.24,27.233067,-8.006933441162111,0.29273534862514033,Normal
AMP,2021,25.17,27.569752,2.3997517395019514,0.6400163123326952,Normal
CMG,2020,24.79,23.716557,-1.0734434509277335,0.5241124916696108,Normal
AEP,2023,26.14,24.783953,-1.3560472869873053,0.5146817333800671,Normal
XYL,2019,18.14,19.408167,1.268166885375976,0.6022542515193339,Normal
CMCSA,2021,20.51,22.229897,1.7198965454101547,0.6173288991086968,Normal
VZ,2022,17.83,19.162346,1.3323458862304705,0.6043959657039764,Normal
AEP,2021,34.61,27.704222,-6.905778274536132,0.32948194187924906,Normal
APTV,2021,13.81,19.939066,6.129065933227539,0.7644670672735342,Normal
CME,2019,17.03,22.439642,5.409641952514647,0.7404592060767228,Normal
ITW,2023,25.29,22.525734,-2.764266052246093,0.46768813633931094,Normal
MPC,2018,37.36,28.465448,-8.894551620483398,0.2631146873513867,High Risk
CSX,2022,20.2,22.975363,2.7753627777099616,0.6525508092511221,Normal
PGR,2019,23.15,25.258913,2.1089130401611342,0.6303107488379719,Normal
DGX,2020,18.92,23.025555,4.10555465698242,0.6969405750343727,Normal
DGX,2022,20.9,20.993597,0.09359703063964986,0.5630577404292728,Normal
TSN,2021,36.16,29.003881,-7.156118545532223,0.32112784938417993,Normal
NRG,2019,38.88,34.52112,-4.358881835937503,0.41447429384385714,Normal
CHD,2019,25.57,26.783838,1.2138382720947263,0.6004412541191374,Normal
AJG,2020,24.86,24.870264,0.010264053344727131,0.5602768398676442,Normal
ZBH,2019,34.25,29.171782,-5.078218460083008,0.39046934781862824,Normal
SNPS,2019,19.85,23.75931,3.9093097686767564,0.6903916968132748,Normal
AEP,2022,28.97,23.174202,-5.795798034667968,0.36652303620522936,Normal
CBOE,2022,19.47,19.952991,0.48299148559570426,0.5760522030493948,Normal
PPG,2018,31.36,28.376127,-2.9838727569580072,0.4603596521269993,Normal
